timestamp,soc,voltage,current,power,charging,raw_payload
2026-06-25T07:38:44.778101,97.6,25.001,0.541,13.5,0,"{""soc"":97.6,""voltage"":25.001,""current"":0.541,""power"":13.50,""ocv"":25.030,""cell_v"":4.167,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":871}"
2026-06-25T07:38:49.277319,97.6,25.0,0.565,14.12,0,"{""soc"":97.6,""voltage"":25.000,""current"":0.565,""power"":14.12,""ocv"":25.030,""cell_v"":4.167,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":876}"
2026-06-25T07:38:54.279583,97.6,24.998,0.591,14.79,0,"{""soc"":97.6,""voltage"":24.998,""current"":0.591,""power"":14.79,""ocv"":25.030,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":881}"
2026-06-25T07:38:59.391661,97.6,24.998,0.545,13.62,0,"{""soc"":97.6,""voltage"":24.998,""current"":0.545,""power"":13.62,""ocv"":25.027,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":886}"
2026-06-25T07:39:03.747807,97.6,24.998,0.591,14.79,0,"{""soc"":97.6,""voltage"":24.998,""current"":0.591,""power"":14.79,""ocv"":25.030,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":881}"
2026-06-25T07:39:04.444030,97.5,24.997,0.573,14.33,0,"{""soc"":97.5,""voltage"":24.997,""current"":0.573,""power"":14.33,""ocv"":25.027,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":891}"
2026-06-25T07:39:09.251078,97.5,24.995,0.602,15.08,0,"{""soc"":97.5,""voltage"":24.995,""current"":0.602,""power"":15.08,""ocv"":25.027,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":896}"
2026-06-25T07:39:14.252908,97.5,24.994,0.6,14.97,0,"{""soc"":97.5,""voltage"":24.994,""current"":0.600,""power"":14.97,""ocv"":25.026,""cell_v"":4.166,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":901}"
2026-06-25T07:39:19.463983,97.5,24.993,0.574,14.33,0,"{""soc"":97.5,""voltage"":24.993,""current"":0.574,""power"":14.33,""ocv"":25.023,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":906}"
2026-06-25T07:39:24.295955,97.5,24.992,0.541,13.5,0,"{""soc"":97.5,""voltage"":24.992,""current"":0.541,""power"":13.50,""ocv"":25.021,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":911}"
2026-06-25T07:39:29.317969,97.5,24.991,0.597,14.92,0,"{""soc"":97.5,""voltage"":24.991,""current"":0.597,""power"":14.92,""ocv"":25.023,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":916}"
2026-06-25T07:39:34.312166,97.4,24.989,0.536,13.39,0,"{""soc"":97.4,""voltage"":24.989,""current"":0.536,""power"":13.39,""ocv"":25.017,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":921}"
2026-06-25T07:39:39.250029,97.4,24.988,0.537,13.41,0,"{""soc"":97.4,""voltage"":24.988,""current"":0.537,""power"":13.41,""ocv"":25.017,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":926}"
2026-06-25T07:39:44.249819,97.4,24.987,0.541,13.53,0,"{""soc"":97.4,""voltage"":24.987,""current"":0.541,""power"":13.53,""ocv"":25.016,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":931}"
2026-06-25T07:39:49.469937,97.4,24.985,0.677,16.89,0,"{""soc"":97.4,""voltage"":24.985,""current"":0.677,""power"":16.89,""ocv"":25.022,""cell_v"":4.164,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":936}"
2026-06-25T07:39:54.383604,97.4,24.986,0.384,9.61,0,"{""soc"":97.4,""voltage"":24.986,""current"":0.384,""power"":9.61,""ocv"":25.006,""cell_v"":4.164,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":941}"
2026-06-25T07:39:59.425793,97.4,24.987,0.379,9.48,0,"{""soc"":97.4,""voltage"":24.987,""current"":0.379,""power"":9.48,""ocv"":25.007,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":946}"
2026-06-25T07:40:04.322270,97.4,24.987,0.379,9.48,0,"{""soc"":97.4,""voltage"":24.987,""current"":0.379,""power"":9.48,""ocv"":25.008,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":951}"
2026-06-25T07:40:09.349272,97.4,24.988,0.381,9.52,0,"{""soc"":97.4,""voltage"":24.988,""current"":0.381,""power"":9.52,""ocv"":25.008,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":956}"
2026-06-25T07:40:14.377512,97.3,24.988,0.405,10.12,0,"{""soc"":97.3,""voltage"":24.988,""current"":0.405,""power"":10.12,""ocv"":25.009,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":961}"
2026-06-25T07:40:19.406719,97.3,24.987,0.463,11.56,0,"{""soc"":97.3,""voltage"":24.987,""current"":0.463,""power"":11.56,""ocv"":25.012,""cell_v"":4.165,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":966}"
